scp-001CODENAME_BILLITH,Netzach,,001-proposal esoteric-class extraterrestrial planet scp spacetime vehicle 
scp-001CODENAME_CaptainKirby,Euclid,,001-proposal alive antimemetic euclid global-occult-coalition humanoid nobody sapient scp sentient the-administrator unusual-incidents-unit 
scp-001CODENAME_Djoric-Dmatix,Humanoid,,001-proposal able alive cain co-authored ectoentropic euclid hmfscp horizon-initiative humanoid religious sapient scp sentient 
scp-001CODENAME_Dr.Clef,Euclid/Keter,,001-proposal able ectoentropic euclid humanoid k-class-scenario keter portal religious sapient scp the-administrator 
scp-001CODENAME_Dr.Eates,keter,,001-proposal keter scp the-administrator uncontained 
scp-001CODENAME_Dr.Gears,esoteric-class,,001-proposal biological esoteric-class gravity humanoid predatory radioactive scp sentient teleportation 
scp-001CODENAME_Dr.Mackenzie,Euclid,,001-proposal document euclid extradimensional key scp the-administrator 
scp-001CODENAME_Dr.Mann,Embla,,001-proposal esoteric-class location physics scp spacetime 
scp-001CODENAME_I.H.Pickman,Archon,,001-proposal archon meta narrative s&c-plastics sapient scp sentient 
scp-001CODENAME_JimNorth,neutralized,,001-proposal alive dr-wondertainment factory humanoid isabel-v neutralized ontokinetic sapient scp sentient uncontained 
scp-001CODENAME_JonathanBall,Keter,,001-proposal document keter predictive scp 
scp-001CODENAME_Kalinin,NA,,001-proposal hub 
scp-001CODENAME_KateMcTiriss,Thaumiel (Subjective assessment),,001-proposal k-class-scenario recording religious scp thaumiel 
scp-001CODENAME_KingPogan,apollyon,,001-proposal apollyon broken-god chaos-insurgency global-occult-coalition humanoid k-class-scenario marshall-carter-and-dark mechanical sapient sarkic scp sentient the-administrator the-engineer uncontained 
scp-001CODENAME_Lily,Unnecessary,,001-proposal esoteric-class predictive scp uncontained 
scp-001CODENAME_McDoctorate,esoteric-class,,001-proposal concept esoteric-class infohazard maria-jones media memory-affecting meta ontokinetic scp 
scp-001CODENAME_MetaIke,Thaumiel/Apollyon,,001-proposal autonomous biological computer esoteric-class foundation-made indestructible mechanical meta narrative oneiroi ontokinetic probability sapient scp self-repairing sentient sleep 
scp-001CODENAME_NoirBox,esoteric-class,,001-proposal esoteric-class extradimensional future k-class-scenario loop predictive scp temporal the-administrator 
scp-001CODENAME_not_a_seagull,keter,,001-proposal daevite historical humanoid jam-con2019 k-class-scenario keter meta meteorological narrative reclamation scp sphere transfiguration 
scp-001CODENAME_Pedantique,[DATA EXPUNGED],,001-proposal esoteric-class interactive scp 
scp-001CODENAME_Pickman-Blank,esoteric-class,,001-proposal concept doctor-reynders esoteric-class foundation-made from-120s-archives historical knowledge memetic mind-affecting on-guard-43 s&c-plastics scp thilo-zwist 
scp-001CODENAME_qntm,Safe,,001-proposal indestructible radioactive safe scp stone 
scp-001CODENAME_Ralliston,esoteric-class,,001-proposal building children-of-the-night esoteric-class factory from-120s-archives historical maria-jones nameless sapient scp sentient the-administrator 
scp-001CODENAME_ROUNDERHOUSE,safe,,001-proposal agent-lament building director-aktus director-moose django-bridge doctor-clef doctor-elliott doctor-gears doctor-mann doctor-rights electronic engraved extradimensional food hallucination historical hy-brasil kain-pathos-crow mechanical medical plant prize-feature researcher-rosen safe scp thad-xyank toxic wanderers-library weapon 
scp-001CODENAME_ROUNDERHOUSE'sGoldProposal,pending,,001-proposal automaton blackwood broken-god city daevite extradimensional grand-karcist-ion historical legate-trunnion mechanical organic pending robert-bumaro saint-hedwig sapient sarkic scp sentient teleportation uncontained weapon 
scp-001CODENAME_S.AndrewSwann,Keter,,001-proposal ectoentropic k-class-scenario keter knowledge meta scp self-replicating 
scp-001CODENAME_S.D.Locke,apollyon,,001-proposal apollyon biohazard co-authored daybreak k-class-scenario light meta scp sun the-administrator transfiguration uncontained 
scp-001CODENAME_Scantron,"53 (Highly intrusive, unknown capabilities, unknown nature)",,001-proposal acoustic building esoteric-class extradimensional mind-affecting scp self-replicating transmission unusual-incidents-unit 
scp-001CODENAME_SpikeBrennan,Yesod,,001-proposal entropic esoteric-class ethics-committee immobile location religious scp sheldon-katz tactical-theology the-administrator 
scp-001CODENAME_Tanhony,Thaumiel,,001-proposal alive concept ethics-committee humanoid knowledge ritual sapient scp sentient thaumiel the-administrator 
scp-001CODENAME_TanhonyII,keter,,001-proposal concept entropic extraterrestrial historical hostile keter observational scp the-administrator transfiguration 
scp-001CODENAME_Tufto,Keter Safe,,001-proposal doomsday2018 extradimensional global-occult-coalition historical k-class-scenario ritual safe scarlet-king scp serpents-hand 
scp-001CODENAME_weizhong_thedeadlymoose_Drewbear_Dexanote,thaumiel,,001-proposal co-authored extradimensional foundation-made general-bowe k-class-scenario palisade scp spacetime thaumiel 
scp-001CODENAME_WJS,Non-Anomalous,,001-proposal concept document esoteric-class foundation-made historical scp 
scp-001CODENAME_Wrong,Euclid,,001-proposal able asci daevite ectoentropic euclid factory global-occult-coalition hiscon2017 historical hmfscp k-class-scenario memory-affecting reclamation sarkic scp spacetime the-administrator uncontained 
scp-10,Safe,,artifact compulsion electronic mind-affecting safe scp 
scp-100,Euclid,,automaton euclid humanoid location metallic sapient scp self-replicating sentient 
scp-1000,Keter,,1000 alive children-of-the-night featured historical humanoid k-class-scenario keter sapient scp sentient serpents-hand species uncontained 
scp-1001,Euclid,site-98,1000 acoustic alive arboreal carnivorous euclid plant rewrite scp 
scp-1002,Euclid,,autonomous euclid hostile humanoid scp sentient shadow 
scp-1003,Keter,,alive humanoid keter parasitic scp 
scp-1004,Safe,,adaptive adult auditory factory media mind-affecting recording redirect safe scp sexual visual 
scp-1005,Safe,site-14,artistic humanoid marshall-carter-and-dark safe scp sentient 
scp-1006,Safe,,alive arachnid safe sapient scp sentient species 
